file,movement,group,aspect
dumbbell-floor-press.png,"Dumbbell floor press","Workouts","4:3 landscape, 1600 × 1200"
push-up.png,"Push-up","Workouts","4:3 landscape, 1600 × 1200"
incline-push-up.png,"Incline push-up","Workouts","4:3 landscape, 1600 × 1200"
dumbbell-squeeze-press.png,"Dumbbell squeeze press","Workouts","4:3 landscape, 1600 × 1200"
one-arm-dumbbell-row.png,"One-arm dumbbell row","Workouts","4:3 landscape, 1600 × 1200"
bent-over-dumbbell-row.png,"Bent-over dumbbell row","Workouts","4:3 landscape, 1600 × 1200"
superman-hold.png,"Superman hold","Workouts","4:3 landscape, 1600 × 1200"
prone-y-raise.png,"Prone Y-raise","Workouts","4:3 landscape, 1600 × 1200"
goblet-squat.png,"Goblet squat","Workouts","4:3 landscape, 1600 × 1200"
dumbbell-romanian-deadlift.png,"Dumbbell Romanian deadlift","Workouts","4:3 landscape, 1600 × 1200"
split-squat.png,"Split squat","Workouts","4:3 landscape, 1600 × 1200"
glute-bridge.png,"Glute bridge","Workouts","4:3 landscape, 1600 × 1200"
seated-dumbbell-press.png,"Seated dumbbell press","Workouts","4:3 landscape, 1600 × 1200"
lateral-raise.png,"Lateral raise","Workouts","4:3 landscape, 1600 × 1200"
pike-push-up.png,"Pike push-up","Workouts","4:3 landscape, 1600 × 1200"
dumbbell-front-raise.png,"Dumbbell front raise","Workouts","4:3 landscape, 1600 × 1200"
dumbbell-curl.png,"Dumbbell curl","Workouts","4:3 landscape, 1600 × 1200"
overhead-triceps-extension.png,"Overhead triceps extension","Workouts","4:3 landscape, 1600 × 1200"
chair-dip.png,"Chair dip","Workouts","4:3 landscape, 1600 × 1200"
hammer-curl.png,"Hammer curl","Workouts","4:3 landscape, 1600 × 1200"
dead-bug.png,"Dead bug","Workouts","4:3 landscape, 1600 × 1200"
side-plank.png,"Side plank","Workouts","4:3 landscape, 1600 × 1200"
bird-dog.png,"Bird dog","Workouts","4:3 landscape, 1600 × 1200"
suitcase-carry.png,"Suitcase carry","Workouts","4:3 landscape, 1600 × 1200"
dumbbell-thruster.png,"Dumbbell thruster","Workouts","4:3 landscape, 1600 × 1200"
reverse-lunge-curl.png,"Reverse lunge + curl","Workouts","4:3 landscape, 1600 × 1200"
step-up.png,"Step-up","Workouts","4:3 landscape, 1600 × 1200"
inchworm-walk-out.png,"Inchworm walk-out","Workouts","4:3 landscape, 1600 × 1200"
heel-drop.png,"Heel drop","Workouts","4:3 landscape, 1600 × 1200"
stamping-march.png,"Stamping march","Workouts","4:3 landscape, 1600 × 1200"
cat-cow.png,"Cat–cow","Recovery — mobility","4:3 landscape, 1600 × 1200"
quadruped-rock-back.png,"Quadruped rock-back","Recovery — mobility","4:3 landscape, 1600 × 1200"
hip-circles.png,"Hip circles","Recovery — mobility","4:3 landscape, 1600 × 1200"
world-s-greatest-stretch.png,"World's greatest stretch","Recovery — mobility","4:3 landscape, 1600 × 1200"
half-kneeling-hip-flexor-stretch.png,"Half-kneeling hip flexor stretch","Recovery — stretch","4:3 landscape, 1600 × 1200"
chin-tuck.png,"Chin tuck","Recovery — mobility","4:3 landscape, 1600 × 1200"
thoracic-rotation.png,"Thoracic rotation","Recovery — mobility","4:3 landscape, 1600 × 1200"
wall-angel.png,"Wall angel","Recovery — mobility","4:3 landscape, 1600 × 1200"
wrist-and-finger-opener.png,"Wrist and finger opener","Recovery — stretch","4:3 landscape, 1600 × 1200"
standing-hamstring-reach.png,"Standing hamstring reach","Recovery — stretch","4:3 landscape, 1600 × 1200"
supine-hamstring-stretch.png,"Supine hamstring stretch","Recovery — stretch","4:3 landscape, 1600 × 1200"
doorway-chest-stretch.png,"Doorway chest stretch","Recovery — stretch","4:3 landscape, 1600 × 1200"
child-s-pose.png,"Child's pose","Recovery — stretch","4:3 landscape, 1600 × 1200"
figure-4-stretch.png,"Figure-4 stretch","Recovery — stretch","4:3 landscape, 1600 × 1200"
supine-twist.png,"Supine twist","Recovery — stretch","4:3 landscape, 1600 × 1200"
legs-up-the-wall.png,"Legs up the wall","Recovery — restore","4:3 landscape, 1600 × 1200"
box-breathing.png,"Box breathing","Recovery — breath","4:3 landscape, 1600 × 1200"
90-90-breathing.png,"90/90 breathing","Recovery — breath","4:3 landscape, 1600 × 1200"
deep-belly-breathing.png,"Deep belly breathing","Recovery — breath","4:3 landscape, 1600 × 1200"
neck-drainage-strokes.png,"Neck drainage strokes","Recovery — drainage","4:3 landscape, 1600 × 1200"
armpit-pump.png,"Armpit pump","Recovery — drainage","4:3 landscape, 1600 × 1200"
abdominal-circles.png,"Abdominal circles","Recovery — drainage","4:3 landscape, 1600 × 1200"
ankle-pumps-and-calf-strokes.png,"Ankle pumps and calf strokes","Recovery — drainage","4:3 landscape, 1600 × 1200"
